debate_title,date,year,actor,first_name,dialogue,is_candidate,party,is_winner,VP_debate,is_incumbent,word_count,vader_full,vader_sentiment,vader_label,bert_full,bert_raw,bert_sentiment,bert_label,diff_sentiment
1960_Kennedy_Nixon_1,1960-09-26,1960,Kennedy,John,"Mr. Smith, Mr. Nixon. In the election of 1860, Abraham Lincoln said the question was whether this nation could exist half-slave or half-free. In the election of 1960, and with the world around us, the question is whether the world will exist half-slave or half-free, whether it will move in the direction of freedom, in the direction of the road that we are taking, or whether it will move in the direction of slavery. I think it will depend in great measure upon what we do here in the United States, on the kind of society that we build, on the kind of strength that we maintain. We discuss tonight domestic issues, but I would not want that to be any implication to be given that this does not involve directly our struggle with Mr. Khrushchev for survival. Mr. Khrushchev is in New York, and he maintains the Communist offensive throughout the world because of the productive power of the Soviet Union itself. The Chinese Communists have always had a large population. But they are important and dangerous now because they are mounting a major effort within their own country. The kind of country we have here, the kind of society we have, the kind of strength we build in the United States will be the defense of freedom. If we do well here, if we meet our obligations, if were moving ahead, then I think freedom will be secure around the world. If we fail, then freedom fails. Therefore, I think the question before the American people is: Are we doing as much as we can do? Are we as strong as we should be? Are we as strong as we must be if were going to maintain our independence, and if were going to maintain and hold out the hand of friendship to those who look to us for assistance, to those who look to us for survival? I should make it very clear that I do not think were doing enough, that I am not satisfied as an American with the progress that were making. This is a great country, but I think it could be a greater country; and this is a powerful country, but I think it could be a more powerful country. Im not satisfied to have fifty percent of our steel-mill capacity unused. Im not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world. Because economic growth means strength and vitality; it means were able to sustain our defenses; it means were able to meet our commitments abroad. Im not satisfied when we have over nine billion dollars worth of food  some of it rotting  even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual. I saw cases in West Virginia, here in the United States, where children took home part of their school lunch in order to feed their families because I dont think were meeting our obligations toward these Americans. Im not satisfied when the Soviet Union is turning out twice as many scientists and engineers as we are. Im not satisfied when many of our teachers are inadequately paid, or when our children go to school part-time shifts. I think we should have an educational system second to none. Im not satisfied when I see men like Jimmy Hoffa  in charge of the largest union in the United States  still free. Im not satisfied when we are failing to develop the natural resources of the United States to the fullest. Here in the United States, which developed the Tennessee Valley and which built the Grand Coulee and the other dams in the Northwest United States at the present rate of hydropower production  and that is the hallmark of an industrialized society  the Soviet Union by 1975 will be producing more power than we are. These are all the things, I think, in this country that can make our society strong, or can mean that it stands still. Im not satisfied until every American enjoys his full constitutional rights. If a Negro baby is born  and this is true also of Puerto Ricans and Mexicans in some of our cities  he has about one-half as much chance to get through high school as a white baby. He has one-third as much chance to get through college as a white student. He has about a third as much chance to be a professional man, about half as much chance to own a house. He has about uh  four times as much chance that hell be out of work in his life as the white baby. I think we can do better. I dont want the talents of any American to go to waste. I know that there are those who want to turn everything over to the government. I dont at all. I want the individuals to meet their responsibilities. And I want the states to meet their responsibilities. But I think there is also a national responsibility. The argument has been used against every piece of social legislation in the last twenty-five years. The people of the United States individually could not have developed the Tennessee Valley; collectively they could have. A cotton farmer in Georgia or a peanut farmer or a dairy farmer in Wisconsin and Minnesota, he cannot protect himself against the forces of supply and demand in the market place; but working together in effective governmental programs he can do so. Seventeen million Americans, who live over sixty-five on an average Social Security check of about seventy-eight dollars a month, theyre not able to sustain themselves individually, but they can sustain themselves through the social security system. I dont believe in big government, but I believe in effective governmental action. And I think thats the only way that the United States is going to maintain its freedom. Its the only way that were going to move ahead. I think we can do a better job. I think were going to have to do a better job if we are going to meet the responsibilities which time and events have placed upon us. We cannot turn the job over to anyone else. If the United States fails, then the whole cause of freedom fails. And I think it depends in great measure on what we do here in this country. The reason Franklin Roosevelt was a good neighbor in Latin America was because he was a good neighbor in the United States. Because they felt that the American society was moving again. I want us to recapture that image. I want people in Latin America and Africa and Asia to start to look to America; to see how were doing things; to wonder what the resident of the United States is doing; and not to look at Khrushchev, or look at the Chinese Communists. That is the obligation upon our generation. In 1933, Franklin Roosevelt said in his inaugural that this generation of Americans has a rendezvous with destiny. I think our generation of Americans has the same rendezvous. The question now is: Can freedom be maintained under the most severe tack  attack it has ever known? I think it can be. And I think in the final analysis it depends upon what we do here. I think its time America started moving again.",True,Democratic,True,False,False,1249,"{'neg': 0.074, 'neu': 0.758, 'pos': 0.169, 'compound': 0.9993}",0.9993,positive,"{'neg': 0.33399999141693115, 'neu': 0.4165000021457672, 'pos': 0.24950000643730164}",-0.08444692194461823,-0.16730605190813008,negative,1.16660605190813
1960_Kennedy_Nixon_1,1960-09-26,1960,Smith,,And now the opening statement by Vice President Richard M. Nixon.,False,,False,False,False,11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,"{'neg': 0.009800000116229057, 'neu': 0.9333999752998352, 'pos': 0.0568000003695488}",0.04695229418575764,0.09362953935994517,positive,-0.09362953935994517
1960_Kennedy_Nixon_1,1960-09-26,1960,Nixon,Richard,"Mr. Smith, Senator Kennedy. The things that Senator Kennedy has said many of us can agree with. There is no question but that we cannot discuss our internal affairs in the United States without recognizing that they have a tremendous bearing on our international position. There is no question but that this nation cannot stand still; because we are in a deadly competition, a competition not only with the men in the Kremlin, but the men in Peking. Were ahead in this competition, as Senator Kennedy, I think, has implied. But when youre in a race, the only way to stay ahead is to move ahead. And I subscribe completely to the spirit that Senator Kennedy has expressed tonight, the spirit that the United States should move ahead. Where, then, do we disagree? I think we disagree on the implication of his remarks tonight and on the statements that he has made on many occasions during his campaign to the effect that the United States has been standing still. We heard tonight, for example, the statement made that our growth in national product last year was the lowest of any industrial nation in the world. Now last year, of course, was 1958. That happened to be a recession year. But when we look at the growth of G.N.P. this year, a year of recovery, we find that its six and nine-tenths per cent and one of the highest in the world today. More about that later. Looking then to this problem of how the United States should move ahead and where the United States is moving, I think it is well that we take the advice of a very famous campaigner: Lets look at the record. Is the United States standing still? Is it true that this Administration, as Senator Kennedy has charged, has been an Administration of retreat, of defeat, of stagnation? Is it true that, as far as this country is concerned, in the field of electric power, in all of the fields that he has mentioned, we have not been moving ahead. Well, we have a comparison that we can make. We have the record of the Truman Administration of seven and a half years and the seven and a half years of the Eisenhower Administration. When we compare these two records in the areas that Senator Kennedy has  has discussed tonight, I think we find that America has been moving ahead. Lets take schools. We have built more schools in these last seven and a half years than we built in the previous seven and a half, for that matter in the previous twenty years. Lets take hydroelectric power. We have developed more hydroelectric power in these seven and a half years than was developed in any previous administration in history. Let us take hospitals. We find that more have been built in this Administration than in the previous Administration. The same is true of highways. Lets put it in terms that all of us can understand. We often hear gross national product discussed and in that respect may I say that when we compare the growth in this Administration with that of the previous Administration that then there was a total growth of eleven percent over seven years; in this Administration there has been a total growth of nineteen per cent over seven years. That shows that theres been more growth in this Administration than in its predecessor. But lets not put it there; lets put it in terms of the average family. What has happened to you? We find that your wages have gone up five times as much in the Eisenhower Administration as they did in the Truman Administration. What about the prices you pay? We find that the prices you pay went up five times as much in the Truman Administration as they did in the Eisenhower Administration. Whats the net result of this? This means that the average family income went up fifteen per cent in the Eisenhower years as against two per cent in the Truman years. Now, this is not standing still. But, good as this record is, may I emphasize it isnt enough. A record is never something to stand on. Its something to build on. And in building on this record, I believe that we have the secret for progress, we know the way to progress. And I think, first of all, our own record proves that we know the way. Senator Kennedy has suggested that he believes he knows the way. I respect the sincerity which he m- which he makes that suggestion. But on the other hand, when we look at the various programs that he offers, they do not seem to be new. They seem to be simply retreads of the programs of the Truman Administration which preceded it. And I would suggest that during the course of the evening he might indicate those areas in which his programs are new, where they will mean more progress than we had then. What kind of programs are we for? We are for programs that will expand educational opportunities, that will give to all Americans their equal chance for education, for all of the things which are necessary and dear to the hearts of our people. We are for programs, in addition, which will see that our medical care for the aged are  is  are much  is much better handled than it is at the present time. Here again, may I indicate that Senator Kennedy and I are not in disagreement as to the aims. We both want to help the old people. We want to see that they do have adequate medical care. The question is the means. I think that the means that I advocate will reach that goal better than the means that he advocates. I could give better examples, but for  for whatever it is, whether its in the field of housing, or health, or medical care, or schools, or the eh- development of electric power, we have programs which we believe will move America, move her forward and build on the wonderful record that we have made over these past seven and a half years. Now, when we look at these programs, might I suggest that in evaluating them we often have a tendency to say that the test of a program is how much youre spending. I will concede that in all the areas to which I have referred Senator Kennedy would have the spe- federal government spend more than I would have it spend. I costed out the cost of the Democratic platform. It runs a minimum of thirteen and two-tenths billions dollars a year more than we are presently spending to a maximum of eighteen billion dollars a year more than were presently spending. Now the Republican platform will cost more too. It will cost a minimum of four billion dollars a year more, a maximum of four and nine-tenths billion dollar a year more than were presently spending. Now, does this mean that his program is better than ours? Not at all. Because it isnt a question of how much the federal government spends; it isnt a question of which government does the most. It is a question of which administration does the right thing. And in our case, I do believe that our programs will stimulate the creative energies of a hundred and eighty million free Americans. I believe the programs that Senator Kennedy advocates will have a tendency to stifle those creative energies, I believe in other words, that his program would lead to the stagnation of the motive power that we need in this country to get progress. The final point that I would like to make is this: Senator Kennedy has suggested in his speeches that we lack compassion for the poor, for the old, and for others that are unfortunate. Let us understand throughout this campaign that his motives and mine are sincere. I know what it means to be poor. I know what it means to see people who are unemployed. I know Senator Kennedy feels as deeply about these problems as I do, but our disagreement is not about the goals for America but only about the means to reach those goals.",True,Republican,False,False,False,1382,"{'neg': 0.037, 'neu': 0.834, 'pos': 0.129, 'compound': 0.9992}",0.9992,positive,"{'neg': 0.2806999981403351, 'neu': 0.4090999960899353, 'pos': 0.3100999891757965}",0.029422283172607422,0.058776740261476314,positive,0.9404232597385237
1960_Kennedy_Nixon_1,1960-09-26,1960,Smith,,"Thank you, Mr. Nixon. That completes the opening statements, and now the candidates will answer questions or comment upon one anothers answers to questions, put by correspondents of the networks. The correspondents: [introducing themselves: Im Sander Vanocur, NBC News; Im Charles Warren, Mutual News; Im Stuart Novins, CBS News; Bob Fleming, ABC News.] The first question to Senator Kennedy from Mr. Fleming.",False,,False,False,False,62,"{'neg': 0.0, 'neu': 0.961, 'pos': 0.039, 'compound': 0.3612}",0.3612,positive,"{'neg': 0.004900000058114529, 'neu': 0.43320000171661377, 'pos': 0.5619000196456909}",0.5570280682295561,0.805491500693947,positive,-0.444291500693947
1960_Kennedy_Nixon_1,1960-09-26,1960,Fleming,,"Senator, the Vice President in his campaign has said that you were naive and at times immature. He has raised the question of leadership. On this issue, why do you think people should vote for you rather than the Vice President?",False,,False,False,False,41,"{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.2732}",-0.2732,negative,"{'neg': 0.6265000104904175, 'neu': 0.359499990940094, 'pos': 0.013899999670684338}",-0.6126264641061425,-0.8411968704981483,negative,0.5679968704981483
1960_Kennedy_Nixon_1,1960-09-26,1960,Kennedy,John,"Well, the Vice President and I came to the Congress together 1946; we both served in the Labor Committee. Ive been there now for fourteen years, the same period of time that he has, so that our experience in uh  government is comparable. Secondly, I think the question is uh  what are the programs that we advocate, what is the party record that we lead? I come out of the Democratic party, which in this century has produced Woodrow Wilson and Franklin Roosevelt and Harry Truman, and which supported and sustained these programs which Ive discussed tonight. Mr. Nixon comes out of the Republican party. He was nominated by it. And it is a fact that through most of these last twenty-five years the Republican leadership has opposed federal aid for education, medical care for the aged, development of the Tennessee Valley, development of our natural resources. I think Mr. Nixon is an effective leader of his party. I hope he would grant me the same. The question before us is: which point of view and which party do we want to lead the United States?",True,Democratic,True,False,False,186,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.9856}",0.9856,positive,"{'neg': 0.014299999922513962, 'neu': 0.7803999781608582, 'pos': 0.2053000032901764}",0.1910158470273018,0.3644705769732038,positive,0.6211294230267963
1960_Kennedy_Nixon_1,1960-09-26,1960,Smith,,"Mr. Nixon, would you like to comment on that statement?",False,,False,False,False,10,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.3612,positive,"{'neg': 0.03970000147819519, 'neu': 0.9380999803543091, 'pos': 0.022199999541044235}",-0.017519650980830193,-0.035024969134833384,neutral,0.3962249691348334
1960_Kennedy_Nixon_1,1960-09-26,1960,Nixon,Richard,I have no comment.,True,Republican,False,False,False,4,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.296}",-0.296,negative,"{'neg': 0.3077999949455261, 'neu': 0.6568999886512756, 'pos': 0.03530000150203705}",-0.2724670432507992,-0.4967137938223915,negative,0.20071379382239152
1960_Kennedy_Nixon_1,1960-09-26,1960,Smith,,The next question: Mr. Novins.,False,,False,False,False,5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,"{'neg': 0.012299999594688416, 'neu': 0.926800012588501, 'pos': 0.0608999989926815}",0.048611986450850964,0.09691879018175445,positive,-0.09691879018175445
1960_Kennedy_Nixon_1,1960-09-26,1960,Novins,,"Mr. Vice President, your campaign stresses the value of your eight year experience, and the question arises as to whether that experience was as an observer or as a participant or as an initiator of policy-making. Would you tell us please specifically what major proposals you have made in the last eight years that have been adopted by the Administration?",False,,False,False,False,60,"{'neg': 0.047, 'neu': 0.879, 'pos': 0.074, 'compound': 0.1779}",0.1779,positive,"{'neg': 0.013700000010430813, 'neu': 0.7706999778747559, 'pos': 0.21559999883174896}",0.20188606157898903,0.38317190268452245,positive,-0.20527190268452244
